Settings === Total time = 10000, Number of Nodes = 6, Speed = 10
Time	Node	Pos_X	Pos_Y
174	5	2405	1000
174	6	2825	1000
175	1	260	1000
175	2	980	1000
175	3	1220	1000
175	4	1630	1000
175	5	2390	1000
175	6	2850	1000
176	1	250	1000
176	2	1000	1000
176	3	1250	1000
176	4	1625	1000
176	5	2375	1000
176	6	2875	1000
177	1	240	1000
177	2	980	1000
177	3	1280	1000
177	4	1620	1000
177	5	2360	1000
177	6	2900	1000
178	1	230	1000
178	2	960	1000
178	3	1310	1000
178	4	1615	1000
178	5	2345	1000
178	6	2925	1000
179	1	220	1000
179	2	940	1000
179	3	1340	1000
179	4	1610	1000
179	5	2330	1000
179	6	2950	1000
180	1	210	1000
180	2	920	1000
180	3	1370	1000
180	4	1605	1000
180	5	2315	1000
180	6	2975	1000
181	1	200	1000
181	2	900	1000
181	3	1400	1000
181	4	1600	1000
181	5	2300	1000
181	6	3000	1000
182	1	190	1000
182	2	880	1000
182	3	1430	1000
182	4	1595	1000
182	5	2285	1000
182	6	2975	1000
183	1	180	1000
183	2	860	1000
183	3	1460	1000
183	4	1590	1000
183	5	2270	1000
183	6	2950	1000
184	1	170	1000
184	2	840	1000
184	3	1490	1000
184	4	1585	1000
184	5	2255	1000
184	6	2925	1000
185	1	160	1000
185	2	820	1000
185	3	1480	1000
185	4	1580	1000
185	5	2240	1000
185	6	2900	1000
186	1	150	1000
186	2	800	1000
186	3	1450	1000
186	4	1575	1000
186	5	2225	1000
186	6	2875	1000
187	1	140	1000
187	2	780	1000
187	3	1420	1000
187	4	1570	1000
187	5	2210	1000
187	6	2850	1000
188	1	130	1000
188	2	760	1000
188	3	1390	1000
188	4	1565	1000
188	5	2195	1000
188	6	2825	1000
189	1	120	1000
189	2	740	1000
189	3	1360	1000
189	4	1560	1000
189	5	2180	1000
189	6	2800	1000
190	1	110	1000
190	2	720	1000
190	3	1330	1000
190	4	1555	1000
190	5	2165	1000
190	6	2775	1000
191	1	100	1000
191	2	700	1000
191	3	1300	1000
191	4	1550	1000
191	5	2150	1000
191	6	2750	1000
192	1	90	1000
192	2	680	1000
192	3	1270	1000
192	4	1545	1000
192	5	2135	1000
