Settings === Total time = 1200, Number of Nodes = 13, Speed = 20
Time	Node	Pos_X	Pos_Y
67	10	6320	6000
67	11	6320	8000
67	12	10000	3320
67	13	9980	2000
68	1	60	8000
68	2	0	3340
68	3	1340	2000
68	4	1340	4000
68	5	1340	6000
68	6	1340	8000
68	7	5000	3340
68	8	6340	2000
68	9	6340	4000
68	10	6340	6000
68	11	6340	8000
68	12	10000	3340
68	13	9960	2000
69	1	40	8000
69	2	0	3360
69	3	1360	2000
69	4	1360	4000
69	5	1360	6000
69	6	1360	8000
69	7	5000	3360
69	8	6360	2000
69	9	6360	4000
69	10	6360	6000
69	11	6360	8000
69	12	10000	3360
69	13	9940	2000
70	1	20	8000
70	2	0	3380
70	3	1380	2000
70	4	1380	4000
70	5	1380	6000
70	6	1380	8000
70	7	5000	3380
70	8	6380	2000
70	9	6380	4000
70	10	6380	6000
70	11	6380	8000
70	12	10000	3380
70	13	9920	2000
71	1	0	8000
71	2	0	3400
71	3	1400	2000
71	4	1400	4000
71	5	1400	6000
71	6	1400	8000
71	7	5000	3400
71	8	6400	2000
71	9	6400	4000
71	10	6400	6000
71	11	6400	8000
71	12	10000	3400
71	13	9900	2000
72	1	20	8000
72	2	0	3420
72	3	1420	2000
72	4	1420	4000
72	5	1420	6000
72	6	1420	8000
72	7	5000	3420
72	8	6420	2000
72	9	6420	4000
72	10	6420	6000
72	11	6420	8000
72	12	10000	3420
72	13	9920	2000
73	1	40	8000
73	2	0	3440
73	3	1440	2000
73	4	1440	4000
73	5	1440	6000
73	6	1440	8000
73	7	5000	3440
73	8	6440	2000
73	9	6440	4000
73	10	6440	6000
73	11	6440	8000
73	12	10000	3440
73	13	9940	2000
74	1	60	8000
74	2	0	3460
74	3	1460	2000
74	4	1460	4000
74	5	1460	6000
74	6	1460	8000
74	7	5000	3460
74	8	6460	2000
74	9	6460	4000
74	10	6460	6000
74	11	6460	8000
74	12	10000	3460
74	13	9960	2000
75	1	80	8000
75	2	0	3480
75	3	1480	2000
75	4	1480	4000
75	5	1480	6000
75	6	1480	8000
75	7	5000	3480
75	8	6480	2000
75	9	6480	4000
75	10	6480	6000
75	11	6480	8000
75	12	10000	3480
75	13	9980	2000
76	1	100	8000
76	2	0	3500
76	3	1500	2000
76	4	1500	4000
76	5	1500	6000
76	6	1500	8000
76	7	5000	3500
76	8	6500	2000
76	9	6500	4000
76	10	6500	6000
76	11	6500	8000
76	12	10000	3500
76	13	10000	2000
77	1	80	8000
77	2	0	3520
77	3	1520	2000
77	4	1520	4000
77	5	1520	6000
77	6	1520	8000
77	7	5000	3520
77	8	6520	2000
77	9	6520	4000
77	10	6520	6000
77	11	6520	8000
77	12	10000	3520
77	13	9980	2000
78	1	60	8000
78	2	0	3540
78	3	1540	2000
78	4	1540	4000
78	5	1540	6000
78	6	1540	8000
78	7	5000	3540
78	8	6540	2000
78	9	6540	4000
78	10	6540	6000
78	11	6540	8000
78	12	10000	3540
78	13	9960	2000
79	1	40	8000
79	2	0	3560
79	3	1560	2000
79	4	1560	4000
79	5	1560	6000
79	6	1560	8000
79	7	5000	3560
79	8	6560	2000
79	9	6560	4000
79	10	6560	6000
79	11	6560	8000
79	12	10000	3560
79	13	9940	2000
80	1	20	8000
80	2	0	3580
80	3	1580	2000
80	4	1580	4000
80	5	1580	6000
80	6	1580	8000
80	7	5000	3580
80	8	6580	2000
80	9	6580	4000
80	10	6580	6000
80	11	6580	8000
80	12	10000	3580
80	13	9920	2000
81	1	0	8000
81	2	0	3600
81	3	1600	2000
81	4	1600	4000
81	5	1600	6000
81	6	1600	8000
81	7	5000	3600
81	8	6600	2000
81	9	6600	4000
81	10	6600	6000
81	11	6600	8000
81	12	10000	3600
81	13	9900	2000
82	1	20	8000
82	2	0	3620
82	3	1620	2000
82	4	1620	4000
82	5	1620	6000
82	6	1620	8000
82	7	5000	3620
82	8	6620	2000
82	9	6620	4000
82	10	6620	6000
82	11	6620	8000
82	12	10000	3620
82	13	9920	2000
83	1	40	8000
83	2	0	3640
83	3	1640	2000
83	4	1640	4000
83	5	1640	6000
83	6	1640	8000
83	7	5000	3640
83	8	6640	2000
83	9	6640	4000
83	10	6640	6000
83	11	6640	8000
83	12	10000	3640
83	13	9940	2000
84	1	60	8000
84	2	0	3660
84	3	1660	2000
84	4	1660	4000
84	5	1660	6000
84	6	1660	8000
84	7	5000	3660
84	8	6660	2000
84	9	6660	4000
84	10	6660	6000
84	11	6660	8000
84	12	10000	3660
84	13	9960	2000
85	1	80	8000
85	2	0	3680
85	3	1680	2000
85	4	1680	4000
85	5	1680	6000
85	6	1680	8000
85	7	5000	3680
85	8	6680	2000
85	9	6680	4000
85	10	6680	6000
85	11	6680	8000
85	12	10000	3680
85	13	9980	2000
86	1	100	8000
86	2	0	3700
86	3	1700	2000
86	4	1700	4000
86	5	1700	6000
86	6	1700	8000
86	7	5000	3700
86	8	6700	2000
86	9	6700	4000
86	10	6700	6000
86	11	6700	8000
86	12	10000	3700
86	13	10000	2000
87	1	80	8000
87	2	0	3720
87	3	1720	2000
87	4	1720	4000
87	5	1720	6000
87	6	1720	8000
87	7	5000	3720
87	8	6720	2000
87	9	6720	4000
87	10	6720	6000
87	11	6720	8000
87	12	10000	3720
87	13	9980	2000
88	1	60	8000
88	2	0	3740
88	3	1740	2000
88	4	1740	4000
88	5	1740	6000
88	6	1740	8000
88	7	5000	3740
88	8	6740	2000
88	9	6740	4000
88	10	6740	6000
88	11	6740	8000
88	12	10000	3740
88	13	9960	2000
89	1	40	8000
89	2	0	3760
89	3	1760	2000
89	4	1760	4000
89	5	1760	6000
89	6	1760	8000
89	7	5000	3760
89	8	6760	2000
89	9	6760	4000
89	10	6760	6000
89	11	6760	8000
89	12	10000	3760
89	13	9940	2000
90	1	20	8000
90	2	0	3780
90	3	1780	2000
90	4	1780	4000
90	5	1780	6000
90	6	1780	8000
90	7	5000	3780
90	8	6780	2000
90	9	6780	4000
90	10	6780	6000
90	11	6780	8000
90	12	10000	3780
90	13	9920	2000
91	1	0	8000
91	2	0	3800
91	3	1800	2000
91	4	1800	4000
91	5	1800	6000
91	6	1800	8000
91	7	5000	3800
91	8	6800	2000
91	9	6800	4000
91	10	6800	6000
91	11	6800	8000
91	12	10000	3800
91	13	9900	2000
92	1	20	8000
92	2	0	3820
92	3	1820	2000
92	4	1820	4000
92	5	1820	6000
92	6	1820	8000
92	7	5000	3820
92	8	6820	2000
92	9	6820	4000
92	10	6820	6000
92	11	6820	8000
92	12	10000	3820
92	13	9920	2000
93	1	40	8000
93	2	0	3840
93	3	1840	2000
93	4	1840	4000
93	5	1840	6000
93	6	1840	8000
93	7	5000	3840
93	8	6840	2000
93	9	6840	4000
93	10	6840	6000
93	11	6840	8000
93	12	10000	3840
93	13	9940	2000
94	1	60	8000
94	2	0	3860
94	3	1860	2000
94	4	1860	4000
94	5	1860	6000
94	6	1860	8000
94	7	5000	3860
94	8	6860	2000
94	9	6860	4000
94	10	6860	6000
94	11	6860	8000
94	12	10000	3860
94	13	9960	2000
95	1	80	8000
95	2	0	3880
95	3	1880	2000
95	4	1880	4000
95	5	1880	6000
95	6	1880	8000
95	7	5000	3880
95	8	6880	2000
95	9	6880	4000
95	10	6880	6000
95	11	6880	8000
95	12	10000	3880
95	13	9980	2000
96	1	100	8000
96	2	0	3900
96	3	1900	2000
96	4	1900	4000
96	5	1900	6000
96	6	1900	8000
96	7	5000	3900
96	8	6900	2000
96	9	6900	4000
96	10	6900	6000
96	11	6900	8000
96	12	10000	3900
96	13	10000	2000
97	1	80	8000
97	2	0	3920
97	3	1920	2000
97	4	1920	4000
97	5	1920	6000
97	6	1920	8000
97	7	5000	3920
97	8	6920	2000
97	9	6920	4000
97	10	6920	6000
97	11	6920	8000
97	12	10000	3920
97	13	9980	2000
98	1	60	8000
98	2	0	3940
98	3	1940	2000
98	4	1940	4000
98	5	1940	6000
98	6	1940	8000
98	7	5000	3940
98	8	6940	2000
98	9	6940	4000
98	10	6940	6000
98	11	6940	8000
98	12	10000	3940
98	13	9960	2000
99	1	40	8000
99	2	0	3960
99	3	1960	2000
99	4	1960	4000
99	5	1960	6000
